번호,주차장 이름,차량 수용대수(전체 중 장애인 차량 수용대수),주차 요금(1시간 기준),경도,위도
1,코스트코세종점,387,0,127.2691617,36.4675447
2,서문메디컬센터(SM메디컬센터) 건물 주차장,127,0,127.2759117,36.47127397
3,해피라움블루 건물 주차장,270,0,127.2749337,36.47368738
4,대평전통시장 주차장,41,800,127.2816161,36.46543319
5,보람동1 주차장,60,0,127.2880534,36.47741848
6,보람동2 주차장,70,0,127.2886478,36.47771821
7,보람동3 주차장,70,0,127.2896079,36.47766063
9,금강수변공원주차장,60,0,127.2913051,36.48216692
10,세종시청주차장(민원인),576,0,127.2870131,36.47924407
11,아아콤스타시티 (현대자동차),500,0,127.3014453,36.48573042
12,소담복합커뮤니티센터,500,0,127.3003683,36.48407359
13,세종국책연구단지,846,0,127.30309,36.49449141
14,이름없음,100,0,127.3020849,36.49104093
15,세종비즈니스센터,547,0,127.2649075,36.4956272
16,에비뉴힐 (영풍문고),273,0,127.2622955,36.49534749
17,세종중앙타운주차장,301,1600,127.262445,36.50830733
18,어진프라자 주차장(민영),274,1600,127.2628709,36.50749193
19,홈플러스세종점,250,0,127.2588009,36.50738909
20,세종호수공원 제1주차장,500,0,127.2680723,36.49166813
21,정부세종청사제8주차장,500,0,127.2628222,36.50236446
22,정부세종청사 제9주차장,500,0,127.2632397,36.50100843
24,싱싱장터 도담점 주차장,200,1600,127.2599239,36.51555961
25,세종한신휴시티지하주차장,515,1600,127.2586021,36.51430546
26,세종라온프라이빗시티1차,207,1600,127.2587789,36.51342666
27,도담프라자,127,1600,127.2583176,36.51282082
28,도담동먹자골목 노상 공영 주차장,13,1400,127.2584634,36.51335555
29,원프라자,107,1600,127.2578432,36.5155759
30,종촌동공영주차장,160,1400,127.2497075,36.50374843
31,메가시티,200,0,127.2481238,36.50281603
32,몰리브상가,200,0,127.2476298,36.50268132
33,아름동공영주차장,236,1400,127.2478657,36.51139728
34,아름주차장,54,0,127.2484291,36.51232252
35,아름행복타워 (GS타임즈 아름행복타워 민영 주차장),49,2000,127.2430111,36.51225636
36,동행주차타워,108,1400,127.2431164,36.512555
37,하모니타워2,38,1400,127.2355037,36.51926726
38,하모니타워1,43,1400,127.2343477,36.50562956
39,고운동복합커뮤니케이션센터 (남측),50,0,127.2353642,36.50497409
40,페스티발1,45,0,127.2485426,36.49529674
41,페스티발2,90,0,127.2492573,36.49518147
42,?무지개타워 (P214) (3-6F 주차장),300,1400,127.2512329,36.4845333
43,온누리타워 (주차타워),50,1400,127.2502526,36.48653499
44,한솔동행정복지센터,26,0,127.2546671,36.479174
45,"세종센터빌딩 (A(26), B(27)동)",53,0,127.2534132,36.47993226
46,골든타워 (2-3층 주차빌딩),50,1400,127.2538478,36.47983233
47,이마트세종점,615,0,127.2510637,36.47114446
48,세종2청사 임시 공영 주차장,70,0,127.2614448,36.48487742
49,2생활권환승주차장A (첫마을 BRT 환승센터A) (225) (전기차충전),271,0,127.2612227,36.48104191
50,세종행복타워 민영 주차장,127,2000,127.2618137,36.48023627
51,나리2로 노상 공영 주차장 (무인),44,1400,127.2606333,36.48135086
52,2생활권환승주차장B (226) (전기차충전),271,0,127.2621216,36.48146258
53,나성동 임시 공영 주차장1,100,0,127.2583251,36.48892553
54,나성동 임시 공영 주차장2,70,0,127.2588161,36.4905915
55,상리1 공영 주차장(세종고용복지+센터 부설주차장),90,600,127.3020376,36.60149465
56,조치원 주차타워 (원리 2 주차장),200,800,127.2978272,36.60059991
57,조치원역 서부 주차장 (조치원역 공영 주차장),165,1900,127.2953981,36.60058154
58,조치원역 동부주차장,65,1900,127.2963515,36.60051896
59,조치원 전통시장 주차장 (정리 1공영 주차장),26,800,127.2999808,36.59971935
60,죽림1 노상 공영 주차장,42,0,127.2972027,36.59150556
61,침산리 3공영 주차장,100,0,127.2923511,36.60436348
62,조치원 전통시장 주차장 재건축 후보지 (국비 36억원 투자 예정지),120,800,127.2995816,36.59976215
63,주차장 시뮬레이션 후보지,30,0,127.2967112,36.60291159
64,주차장 시뮬레이션 후보지,50,0,127.2755077,36.47407446
65,주차장 시뮬레이션 후보지 (임시주차장 (공터)),50,0,127.2561693,36.4867557
66,주차장 시뮬레이션 후보지 (소담동 공터),300,0,127.297135,36.48616051
67,"주차장 시뮬레이션 후보지 (보람동 공터, 세종세무서 예정지)",300,0,127.2859838,36.47885206
68,세종포스트빌딩,50,0,127.2611208,36.50807111
69,연서면사무소 봉암출장소,50,0,127.2780362,36.55914066
70,장군면사무소,50,0,127.205414,36.49670993
71,세종시청,50,0,127.2890394,36.48005795
72,청사경비대,50,0,127.267516,36.50333374
73,교육부,50,0,127.2655386,36.49911694
74,"농림축산식품부, 해양수산부",50,0,127.2650217,36.50461419
75,고운뜰공원 관리사무소,50,0,127.239115,36.51250438
76,지하차도 관리사무소,50,0,127.2451858,36.48467054
77,금천1리마을회관,50,0,127.3151222,36.442198
78,"국토교통부, 환경부, 행복도시건설청",50,0,127.2624411,36.50491249
79,세종특별자치시교육청,50,0,127.2863692,36.47808901
80,세종시 교육연구원,50,0,127.2877114,36.60044935
81,세종선거관리위원회,50,0,127.2924044,36.4784138
82,한솔동 복합커뮤니티센터 정음관,50,0,127.255841,36.4775094
83,소정우체국,50,0,127.1550567,36.71399173
84,소정치안센터,50,0,127.1568508,36.71819386
85,"산업통상자원부, 중앙토지수용위원회",50,0,127.2605312,36.50041354
86,고용노동부,50,0,127.2616523,36.50140036
87,3생활권 광역복지지원센터,50,0,127.2922631,36.47929679
88,세종특별자치시의회,50,0,127.2904509,36.48002104
89,한국조세재정연구원,50,0,127.3011376,36.49257078
90,세종우체국,50,0,127.2918559,36.48054879
91,황용보건진료소,50,0,127.3295508,36.48027699
92,이동식 화장실,50,0,127.2453629,36.52132698
93,종촌동주민센터,50,0,127.2468694,36.50463453
94,연동면119지역대,50,0,127.3266964,36.55875724
95,세종창업키움센터,50,0,127.2919684,36.59196285
96,조치원소방서,50,0,127.2889142,36.60479987
97,전동면사무소,50,0,127.2641798,36.6561038
98,전의면문화센터,50,0,127.2062795,36.67919062
99,세종전의우체국,50,0,127.2028294,36.67997719
100,전의면사무소,50,0,127.1960032,36.68140628
101,소담동주민센터,50,0,127.3003683,36.48407359
102,정부세종2청사,50,0,127.2609728,36.4839148
103,부강파출소,50,0,127.36448,36.53089983
104,연서119안전센터,50,0,127.202303,36.58956354
105,쌍류보건진료소,50,0,127.2137517,36.59495023
106,전동우체국,50,0,127.2668204,36.65395109
107,봉암119지역대,50,0,127.2858071,36.56075647
108,장군면119지역대,50,0,127.2042942,36.49661108
109,장군치안센터,50,0,127.2043314,36.49676181
110,장군면사무소,50,0,127.2056188,36.49667356
111,장군우체국,50,0,127.2060576,36.49696891
112,옥외체육시설,50,0,127.2582046,36.50583527
113,양곡보건진료소,50,0,127.177981,36.64026651
114,"세종시 조치원청사, 농정원",50,0,127.2922533,36.59331659
115,송곡보건진료소,50,0,127.2692956,36.63089799
116,연기면119지역대,50,0,127.2758877,36.54412367
117,티브로드 세종국사,50,0,127.2785726,36.5467491
118,세종연서우체국,50,0,127.2824404,36.56203245
119,세종창조경제혁신센터,50,0,127.292695,36.5958965
120,세종경찰서 조치원지구대,50,0,127.2980529,36.60436883
121,응암보건진료소,50,0,127.3413241,36.55732784
122,금남우체국,50,0,127.280963,36.46363249
123,금남면사무소,50,0,127.280366,36.46385504
124,금남면119지역대,50,0,127.2805347,36.46411379
125,금남파출소,50,0,127.2810529,36.46413933
126,연동면 복합커뮤니티센터,50,0,127.3273282,36.55534231
